% %  1. Title of Database: Abalone data
% %
% %  2. Sources:
% %
% %     (a) Original owners of database:
% %  	Marine Resources Division
% %  	Marine Research Laboratories - Taroona
% %  	Department of Primary Industry and Fisheries, Tasmania
% %  	GPO Box 619F, Hobart, Tasmania 7001, Australia
% %  	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)
% %
% %     (b) Donor of database:
% %  	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
% %  	Department of Computer Science, University of Tasmania
% %  	GPO Box 252C, Hobart, Tasmania 7001, Australia
% %
% %     (c) Date received: December 1995
% %
% %
% %  3. Past Usage:
% %
% %     Sam Waugh (1995) "Extending and benchmarking Cascade-Correlation", PhD
% %     thesis, Computer Science Department, University of Tasmania.
% %
% %     -- Test set performance (final 1044 examples, first 3133 used for training):
% %  	24.86% Cascade-Correlation (no hidden nodes)
% %  	26.25% Cascade-Correlation (5 hidden nodes)
% %  	21.5%  C4.5
% %  	 0.0%  Linear Discriminate Analysis
% %  	 3.57% k=5 Nearest Neighbour
% %        (Problem encoded as a classification task)
% %
% %     -- Data set samples are highly overlapped.  Further information is required
% %  	to separate completely using affine combinations.  Other restrictions
% %  	to data set examined.
% %
% %     David Clark, Zoltan Schreter, Anthony Adams "A Quantitative Comparison of
% %     Dystal and Backpropagation", submitted to the Australian Conference on
% %     Neural Networks (ACNN'96). Data set treated as a 3-category classification
% %     problem (grouping ring classes 1-8, 9 and 10, and 11 on).
% %
% %     -- Test set performance (3133 training, 1044 testing as above):
% %  	64%    Backprop
% %  	55%    Dystal
% %     -- Previous work (Waugh, 1995) on same data set:
% %  	61.40% Cascade-Correlation (no hidden nodes)
% %  	65.61% Cascade-Correlation (5 hidden nodes)
% %  	59.2%  C4.5
% %  	32.57% Linear Discriminate Analysis
% %  	62.46% k=5 Nearest Neighbour
% %
% %
% %  4. Relevant Information Paragraph:
% %
% %     Predicting the age of abalone from physical measurements.  The age of
% %     abalone is determined by cutting the shell through the cone, staining it,
% %     and counting the number of rings through a microscope -- a boring and
% %     time-consuming task.  Other measurements, which are easier to obtain, are
% %     used to predict the age.  Further information, such as weather patterns
% %     and location (hence food availability) may be required to solve the problem.
% %
% %     From the original data examples with missing values were removed (the
% %     majority having the predicted value missing), and the ranges of the
% %     continuous values have been scaled for use with an ANN (by dividing by 200).
% %
% %     Data comes from an original (non-machine-learning) study:
% %
% %  	Warwick J Nash, Tracy L Sellers, Simon R Talbot, Andrew J Cawthorn and
% %  	Wes B Ford (1994) "The Population Biology of Abalone (_Haliotis_
% %  	species) in Tasmania. I. Blacklip Abalone (_H. rubra_) from the North
% %  	Coast and Islands of Bass Strait", Sea Fisheries Division, Technical
% %  	Report No. 48 (ISSN 1034-3288)
% %
% %
% %  5. Number of Instances: 4177
% %
% %
% %  6. Number of Attributes: 8
% %
% %
% %  7. Attribute information:
% %
% %     Given is the attribute name, attribute type, the measurement unit and a
% %     brief description.  The number of rings is the value to predict: either
% %     as a continuous value or as a classification problem.
% %
% %  	Name		Data Type	Meas.	Description
% %  	----		---------	-----	-----------
% %  	Sex		nominal			M, F, and I (infant)
% %  	Length		continuous	mm	Longest shell measurement
% %  	Diameter	continuous	mm	perpendicular to length
% %  	Height		continuous	mm	with meat in shell
% %  	Whole weight	continuous	grams	whole abalone
% %  	Shucked weight	continuous	grams	weight of meat
% %  	Viscera weight	continuous	grams	gut weight (after bleeding)
% %  	Shell weight	continuous	grams	after being dried
% %  	Rings		integer			+1.5 gives the age in years
% %
% %     Statistics for numeric domains:
% %
% %  		Length	Diam	Height	Whole	Shucked	Viscera	Shell	Rings
% %  	Min	0.075	0.055	0.000	0.002	0.001	0.001	0.002	    1
% %  	Max	0.815	0.650	1.130	2.826	1.488	0.760	1.005	   29
% %  	Mean	0.524	0.408	0.140	0.829	0.359	0.181	0.239	9.934
% %  	SD	0.120	0.099	0.042	0.490	0.222	0.110	0.139	3.224
% %  	Correl	0.557	0.575	0.557	0.540	0.421	0.504	0.628	  1.0
% %
% %
% %  8. Missing Attribute Values: None
% %
% %
% %  9. Class Distribution:
% %
% %  	Class	Examples
% %  	-----	--------
% %  	1	1
% %  	2	1
% %  	3	15
% %  	4	57
% %  	5	115
% %  	6	259
% %  	7	391
% %  	8	568
% %  	9	689
% %  	10	634
% %  	11	487
% %  	12	267
% %  	13	203
% %  	14	126
% %  	15	103
% %  	16	67
% %  	17	58
% %  	18	42
% %  	19	32
% %  	20	26
% %  	21	14
% %  	22	6
% %  	23	9
% %  	24	2
% %  	25	1
% %  	26	1
% %  	27	2
% %  	29	1
% %  	-----	----
% %  	Total	4177s
@RELATION abalone

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE V1 {F, I, M}
@ATTRIBUTE V2 NUMERIC
@ATTRIBUTE V3 NUMERIC
@ATTRIBUTE V4 NUMERIC
@ATTRIBUTE V5 NUMERIC
@ATTRIBUTE V6 NUMERIC
@ATTRIBUTE V7 NUMERIC
@ATTRIBUTE V8 NUMERIC
@ATTRIBUTE Class {1, 2, 3}

@DATA
325,I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,1
328,M,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,1
330,M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,3
331,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,1
332,I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,1
335,M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,3
337,M,0.59,0.45,0.185,1.283,0.473,0.276,0.425,3
340,M,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,3
342,M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,3
343,F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,3
344,F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,1
346,F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,2
347,I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,1
348,I,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,1
349,M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,3
350,F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,1
351,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,3
352,M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,3
353,M,0.58,0.455,0.17,0.93,0.408,0.259,0.22,2
354,M,0.635,0.515,0.17,1.275,0.509,0.286,0.34,3
356,M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,3
357,F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,3
358,M,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,3
360,M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,3
361,F,0.59,0.465,0.15,0.997,0.392,0.246,0.34,3
365,M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,3
366,M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,3
367,F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,2
368,M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,3
369,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,3
370,F,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,3
371,F,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,3
372,F,0.68,0.58,0.2,1.787,0.585,0.453,0.6,3
374,M,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,3
376,M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,3
377,F,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,2
378,M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,3
379,F,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,3
380,M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,3
381,M,0.535,0.42,0.145,0.791,0.33,0.189,0.25,2
382,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,2
383,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,3
386,M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,3
387,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,2
391,M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,2
392,F,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,2
393,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,2
394,I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,1
395,I,0.39,0.31,0.1,0.302,0.116,0.064,0.115,3
396,F,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,2
397,M,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,1
399,M,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,3
400,F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,2
402,F,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,1
403,F,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,2
406,M,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,1
407,M,0.59,0.485,0.12,0.911,0.39,0.182,0.29,3
408,M,0.555,0.45,0.145,0.915,0.4,0.246,0.285,3
409,M,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,1
410,M,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,3
411,M,0.585,0.475,0.12,0.945,0.41,0.2115,0.28,3
412,F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,3
413,M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,3
414,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,3
415,F,0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,3
416,F,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,3
417,M,0.63,0.515,0.165,1.352,0.488,0.349,0.45,3
418,F,0.63,0.5,0.155,1.005,0.367,0.199,0.36,3
420,F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,3
421,I,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,3
422,F,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,3
423,I,0.29,0.225,0.07,0.101,0.036,0.0235,0.035,1
424,I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,1
425,M,0.58,0.45,0.175,1.068,0.425,0.203,0.32,3
426,F,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,3
427,M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,3
429,F,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,3
430,F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,3
432,M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,3
433,M,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,3
435,M,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,3
436,I,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,1
438,M,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,2
439,M,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,3
440,I,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,2
442,F,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,3
443,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,2
444,F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,2
445,F,0.56,0.455,0.19,0.714,0.283,0.129,0.275,2
447,M,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,3
449,F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,3
450,M,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,3
452,F,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,3
453,F,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,3
455,M,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,3
456,F,0.64,0.54,0.175,1.221,0.51,0.259,0.39,3
457,I,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,2
458,I,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,2
459,F,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,3
460,M,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,3
461,F,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,3
462,I,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,1
463,I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,1
464,I,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,1
465,I,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,1
466,F,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,3
468,F,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,3
469,M,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,3
470,F,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,2
471,F,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,2
472,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,2
474,F,0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765,2
478,M,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,3
479,M,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,3
480,F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,3
482,M,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,3
483,F,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,3
485,F,0.585,0.465,0.14,0.908,0.381,0.1615,0.315,3
486,M,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,3
487,F,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,3
488,M,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,3
489,F,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,3
490,M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,3
491,M,0.58,0.46,0.13,0.921,0.357,0.181,0.29,3
492,F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,3
493,M,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,3
494,M,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,3
495,F,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,3
496,F,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,3
497,F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,3
498,F,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,3
499,M,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,2
500,F,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,3
501,F,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,3
502,F,0.62,0.47,0.225,1.115,0.378,0.2145,0.36,3
503,F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,3
504,F,0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,3
505,M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,3
506,M,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,3
507,M,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,3
508,M,0.56,0.435,0.18,0.889,0.36,0.204,0.25,3
509,I,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,3
510,I,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,2
511,F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,2
512,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,2
514,F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,1
515,M,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,1
518,M,0.325,0.23,0.09,0.147,0.06,0.034,0.045,1
519,F,0.345,0.25,0.09,0.203,0.078,0.059,0.055,1
521,F,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,1
522,I,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,2
524,M,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,1
526,M,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,1
527,F,0.57,0.445,0.155,0.733,0.282,0.159,0.235,3
528,F,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,3
529,M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,2
530,I,0.53,0.42,0.185,0.752,0.299,0.156,0.205,3
532,I,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,3
533,F,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,2
534,I,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,2
535,I,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,3
537,M,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,1
538,M,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,1
539,F,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,2
540,F,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,3
542,M,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,3
543,M,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,1
544,F,0.38,0.29,0.105,0.257,0.099,0.051,0.085,2
546,M,0.255,0.195,0.065,0.08,0.0315,0.018,0.027,1
547,M,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,1
548,F,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,3
549,I,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,3
550,I,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,3
551,I,0.615,0.49,0.155,0.9885,0.4145,0.195,0.345,3
552,I,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,3
553,I,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,3
554,I,0.485,0.39,0.125,0.591,0.287,0.141,0.12,2
555,I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,2
556,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,3
557,F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,3
559,I,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,3
560,F,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,1
561,I,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,3
562,F,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,3
563,F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,3
564,F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,3
565,M,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,2
567,I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,3
568,M,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,1
569,F,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,3
570,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,3
571,I,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,3
572,F,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,3
573,F,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,3
574,I,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,2
575,F,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,3
576,I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,2
578,I,0.58,0.445,0.15,0.8865,0.383,0.209,0.255,3
579,F,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,3
580,F,0.625,0.49,0.175,1.233,0.5565,0.247,0.365,3
581,I,0.55,0.425,0.15,0.806,0.376,0.171,0.245,3
582,F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,3
583,I,0.46,0.355,0.14,0.4935,0.216,0.133,0.115,3
584,F,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,3
585,I,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,3
586,I,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,2
588,M,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,3
589,F,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,3
590,I,0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,3
591,F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,2
593,F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,3
594,M,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,3
595,I,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,3
596,F,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,2
597,I,0.605,0.47,0.14,0.939,0.3385,0.201,0.32,3
598,I,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,3
599,F,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,3
600,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,3
601,F,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,2
602,F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,3
604,I,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,3
605,I,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,3
606,M,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,2
607,I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,2
608,M,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,2
610,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,3
611,M,0.195,0.145,0.05,0.032,0.01,0.008,0.012,1
612,M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,2
613,I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,3
616,F,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,3
617,M,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,1
618,M,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,2
619,M,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,1
620,M,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,2
621,I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,3
623,F,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,3
625,F,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,3
626,F,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,2
627,F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,1
629,M,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,2
630,I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,2
631,F,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,1
632,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,2
633,I,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,2
634,M,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,2
635,M,0.355,0.265,0.09,0.168,0.05,0.041,0.063,1
636,M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,1
637,M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,1
639,F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,3
640,M,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,1
641,I,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,3
642,F,0.59,0.45,0.16,0.9,0.358,0.156,0.315,3
643,M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,1
644,M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,2
646,M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,1
647,M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,2
648,I,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,3
649,F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,2
650,M,0.255,0.18,0.065,0.079,0.034,0.014,0.025,1
651,I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,1
652,I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,3
654,F,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,2
655,M,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,1
656,F,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,3
657,F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,3
658,I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,3
659,F,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,3
660,I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,3
662,F,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,2
663,F,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,3
664,I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,3
665,F,0.395,0.295,0.095,0.2245,0.078,0.054,0.08,2
667,F,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,3
668,M,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,3
669,F,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,3
670,M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,3
672,F,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,3
674,F,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,3
675,F,0.52,0.395,0.18,0.64,0.158,0.11,0.245,3
676,M,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,3
677,F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,3
678,F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,3
679,F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,1
680,I,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,1
681,M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,2
682,F,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,1
683,M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,3
684,M,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,2
685,M,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,3
686,F,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,3
687,F,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,3
690,M,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,2
691,I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,1
693,M,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,2
694,I,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,1
695,I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,1
697,M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,1
698,F,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,3
699,F,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,3
700,M,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,3
702,F,0.445,0.33,0.105,0.4525,0.18,0.103,0.123,2
703,M,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,3
705,M,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,2
707,F,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,2
709,I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,1
712,I,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335,1
713,M,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,1
714,M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,2
715,I,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,1
717,I,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245,1
718,I,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,1
719,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,1
720,I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,1
721,M,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,3
727,F,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,3
728,M,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,3
729,F,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,3
731,M,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,3
732,M,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,3
733,M,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,3
734,M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,3
